submission_id;solution_id;exercise_id;runtime_id;worker_group_id;spawn_ts;correctness;compilation_ok;duration
34d4b0225ff2d92fff38e0b4f262bd36998cbe77;38e4c42341ab71c5e23dd0e8754cb8a9c37ba490;ab9ebd031a4dc9a5622ed841d41e403c419b690d;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511339563;1;1;0.317
88297cd3391ef233bc21c1b6d0fa5377bee5bbdb;38e4c42341ab71c5e23dd0e8754cb8a9c37ba490;ab9ebd031a4dc9a5622ed841d41e403c419b690d;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511339634;1;1;0.323
fe5bb2b6c0d92460e9cf1405d22bf23c476de2fe;38e4c42341ab71c5e23dd0e8754cb8a9c37ba490;ab9ebd031a4dc9a5622ed841d41e403c419b690d;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511339697;1;1;0.324
b6266dd91e1c2e6e5282c736b9c25b9d4fd1e218;6066e40f7152b9cb90d1403c628b7e95c030ddf0;f66ab9857ba0ce686d231454fb2122afddd3fa2c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511454155;1;1;3.522
0fa9b7c07a62c894e4214857fb3b530ef3f2f907;c899a47e19ce6c79aaf3486de26fd21aa8b49d1a;f66ab9857ba0ce686d231454fb2122afddd3fa2c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511454197;1;1;5.02
989f9fa4849d311c877dd9dbb90ccc38d871232f;fcd1d029a45ae0a7632bbb620b8b4606ff009662;f66ab9857ba0ce686d231454fb2122afddd3fa2c;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511454219;1;1;5.785
2c663c117c34c961c240631740f1453922ec2b60;2f32422cba9467d6e2c9430099a69bd73ab41dcb;41b6eae7cb3d2bacc7b36505bcc099a6ed561434;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511475220;1;1;0.398
e7996d0a04f7198c5e675d2ddc18a4077132c045;7eccbec42aa77738b87e629fba4281fc3556a866;90419793578149c1fa0f91cf2bece1bf61ba15c7;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511475566;1;1;0.309
d6e86d06814a61a892453b9efd8cca612172258e;bb4b1fa4e98d7e649270c9e11c4a41fecb2069eb;3e391e634fee18caabbd489ed9ae92c00a3e5674;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511475715;1;1;0.153
852669442360b28d57b08331875803c62137764f;e841e86d00131b28efcc087ab828c60dcb903572;337511872df2cbfe346ff945c71a42107d86b374;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511546724;1;1;0.367
e2d77a640d9345e865403b3a76072c55db01dea5;8aadf163a061e2f8592a7d953f1fe79398aa50e8;a39545b3e952fc5eb7a029894f8e4a459f85eef8;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511547132;1;1;0.574
e9241578b4ccab9b71a92de7f00676f76bd0da14;b647751e433e3d48baa0e3aa57d8981d0b93c15c;f549d394a1403fc2e56b026141974c9e0b63617d;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511547670;1;1;0.416
538cbafc3829e4d73d18e874d8ef81e74955cdc6;dcbbb937e717af0475bd53473fcefa4b08bea07d;f549d394a1403fc2e56b026141974c9e0b63617d;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511547735;1;1;1.146
0f3c81ddc45086e1a13dacd5ac041e2790597dbf;42b9d10bd2352cf44ff3a5510ea23c6fccc2b238;cb83fed1bb39671920fd1108665989fda77b4b41;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511553749;1;1;0.918
