submission_id;solution_id;group_id;tlgroup_id;exercise_id;runtime_id;worker_group_id;user_id;spawn_ts;end_ts;limits;cpu_time;correctness;compilation_ok;duration
f1cb15fa6cee04f9d7f9d6140daa12955fb57266;3fedd9c9e9836aa802943f4741fa98531e269c9e;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507076422;1507076424;32;0;0;0;0.047
8fb025a5c3cadf1858fe3546676e3ba58dadbc88;a5fcfa7f6f0046336b0363458ad751478e157f8c;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507076469;1507076471;32;0;0;0;0.045
6729203b114eddf01cdad300525d24e6041eb682;a644fba65aa3aa5a94de3b0ea2020ac428146917;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507076525;1507076594;32;0;1;1;21.972
c70b5bccabf172fe1232c532f5ef71ede44ddbbe;dc06e9c842df048b1d58e9da95e0556c71f3811f;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507076603;1507076650;4;0;1;1;2.715
70939a5aec90dbbbee707bf523bc313d1799befb;f9cae796ac38faeacd22482b778dce1a3055f1d6;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507083449;1507083454;4;0;0;0;0.152
0717e207ac45494f4a691d51b8d1a8e7f19dee43;5bf2c7ff35d64ec95ad66c636b52a9e585437785;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507083525;1507083666;4;0;0.18181818181818;1;3.261
8018c2436e1dec4ebfc1fa289c1d16f0df4d10be;808785858cb7ff5eb8a1d00d17a85469035ab29b;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507084578;1507084666;4;0;0.090909090909091;1;3.226
1950809f5188e3d2fb2ed818dc4ca6905e9a01ab;ff700e8383c8e8d28ca2f850cd4cd4f1b47859ee;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507120061;1507120107;32;0;1;1;3.304
18a9bdc5ae667ed382cdc6814ce4ba0647114bfb;6de89e6218322fa9ade796a9a78396127ea8edf5;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507120254;1507120300;4;0;1;1;2.955
9bc16721713f702ad92d5f256c12dada3aa03775;24099e2109a9159020c84e487b2d5b82ac01909c;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;a43f727387670840ae1180c0280551c8beeb4a79;1507134973;1507135083;32;0;0.90909090909091;1;4.165
a882320f481c5bc9b86595fb98477d424388cbe0;5fc60c241107644bcfe97051009d5fcf9b2ab4a7;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;a43f727387670840ae1180c0280551c8beeb4a79;1507135601;1507135695;32;0;0.90909090909091;1;4.111
